       id       bayes.sfh.sfr     bayes.sfh.sfr_err  bayes.sfh.sfr100Myrs  bayes.sfh.sfr100Myrs_err  bayes.sfh.sfr10Myrs  bayes.sfh.sfr10Myrs_err             bayes.L15           bayes.L15_err            bayes.L18W          bayes.L18W_err             bayes.L24           bayes.L24_err              bayes.N2            bayes.N2_err               bayes.N3            bayes.N3_err               bayes.N4            bayes.N4_err     bayes.PACS_green    bayes.PACS_green_err      bayes.PACS_red      bayes.PACS_red_err              bayes.S11           bayes.S11_err               bayes.S7            bayes.S7_err             bayes.S9W           bayes.S9W_err          bayes.WFCAM_J       bayes.WFCAM_J_err          bayes.WFCAM_K       bayes.WFCAM_K_err          bayes.WFCAM_Y       bayes.WFCAM_Y_err    bayes.cfht.megacam.g  bayes.cfht.megacam.g_err  bayes.cfht.megacam.inew  bayes.cfht.megacam.inew_err   bayes.cfht.megacam.r  bayes.cfht.megacam.r_err    bayes.cfht.megacam.u  bayes.cfht.megacam.u_err   bayes.cfht.megacam.z  bayes.cfht.megacam.z_err  bayes.xray_boxcar_2to7keV  bayes.xray_boxcar_2to7keV_err     best.chi_square  best.reduced_chi_square  best.agn.EBV  best.agn.Mcl  best.agn.R  best.agn.delta  best.agn.disk_type  best.agn.emissivity  best.agn.fracAGN  best.agn.fracAGN_dale2014  best.agn.i  best.agn.law  best.agn.oa  best.agn.pl  best.agn.q  best.agn.t  best.agn.temperature  best.attenuation.B_B90  best.attenuation.E_BV_factor  best.attenuation.E_BV_lines  best.attenuation.E_BVs  best.attenuation.FUV  best.attenuation.V_B90  best.attenuation.powerlaw_slope  best.attenuation.uv_bump_amplitude  best.attenuation.uv_bump_wavelength  best.attenuation.uv_bump_width  best.dust.alpha  best.nebular.f_dust  best.nebular.f_esc  best.nebular.lines_width  best.nebular.logU  best.nebular.ne  best.nebular.zgas  best.param.EW(500.7/1.0)  best.param.EW(656.3/1.0)  best.param.restframe_FUV-NUV  best.param.restframe_NUV-r_prime  best.radio.R_agn  best.radio.alpha_agn  best.radio.alpha_sf  best.radio.qir_sf  best.sfh.age  best.sfh.age_burst  best.sfh.age_main  best.sfh.f_burst  best.sfh.tau_burst  best.sfh.tau_main  best.stellar.age_m_star  best.stellar.imf  best.stellar.metallicity  best.stellar.old_young_separation_age   best.universe.age  best.universe.luminosity_distance  best.universe.redshift  best.xray.E_cut  best.xray.a1  best.xray.a2  best.xray.alpha_ox  best.xray.det_hmxb  best.xray.det_lmxb  best.xray.gam          best.agn.L_6um  best.agn.accretion_power  best.agn.disk_luminosity  best.agn.intrin_Lnu_2500A_30deg     best.agn.luminosity  best.agn.polar_dust_luminosity  best.agn.torus_dust_luminosity  best.agn.total_dust_luminosity    best.dust.luminosity  best.param.restframe_Lnu(FUV)  best.param.restframe_Lnu(V_B90)  best.radio.P_agn_1p4GHz  best.sfh.integrated         best.sfh.sfr  best.sfh.sfr100Myrs  best.sfh.sfr10Myrs        best.stellar.lum     best.stellar.lum_ly  best.stellar.lum_ly_old  best.stellar.lum_ly_young    best.stellar.lum_old  best.stellar.lum_young  best.stellar.m_gas  best.stellar.m_gas_old  best.stellar.m_gas_young  best.stellar.m_star  best.stellar.m_star_old  best.stellar.m_star_young       best.stellar.n_ly   best.stellar.n_ly_old  best.stellar.n_ly_young  best.xray.agn_Lnu_2keV_30deg  best.xray.agn_Lx_2to10keV  best.xray.agn_Lx_total  best.xray.hmxb_Lx_2to10keV  best.xray.hotgas_Lx_0p5to2keV  best.xray.lmxb_Lx_2to10keV  best.xray_boxcar_2to7keV     best.cfht.megacam.u    best.cfht.megacam.g    best.cfht.megacam.r  best.cfht.megacam.inew    best.cfht.megacam.z           best.WFCAM_Y           best.WFCAM_J          best.WFCAM_K                best.N2               best.N3                best.N4                best.S7               best.S9W               best.S11              best.L15             best.L18W              best.L24      best.PACS_green        best.PACS_red 
 61006530    67.3588415028716      3.36794207514358     68.36444086241141        3.4182220431205708    67.44981170959203       3.3724905854796017   0.21992727098295586   0.0001415540883633751    0.2508336497044678  0.00016144668397002372    0.2894125532905537  0.00018627762695758455   0.08724694147710678   5.615566095139575e-05    0.10690799790508845   6.881031222081023e-05    0.10118065152812522   6.512396040319331e-05    2.928535086617008    0.001884923650320509   5.846675208147217   0.0037631566806016767    0.07735096656429898   4.978621117380054e-05    0.07214275272550512  4.6433994058313536e-05   0.06724345135652855   4.328060550488882e-05    0.04337231251525966  2.7916174883035816e-05    0.08528917463534236   5.489556301413107e-05    0.03488942723454261  2.2456246756633345e-05    0.008848255946903694     5.695095467568552e-06     0.014674441303000618         9.44506405051105e-06   0.010776328172073586     6.936080748351928e-06    0.007911221655170969    5.0919822913868196e-06    0.02510776790307641     1.616037511161853e-05      6.693455972881605e-07         1.0621865762585875e-07   85.66826488314446        4.759348049063581          0.03          0.97        20.0           -0.36                 1.0                  1.6               0.1                        0.0        30.0           0.0         40.0          1.0         1.0         7.0                 100.0      0.6848165397312389                          0.44                          0.3                   0.132    1.3757237023259925      0.5484919190164297                              0.0                                 0.0                                217.5                            35.0              2.0                  0.0                 0.0                     300.0               -2.0            100.0               0.02         1.675751921197019         3.978467049370288           0.24134031061376815                1.8156128746602103              10.0                   0.7                  0.8               2.58        5000.0                20.0             5000.0               0.0                50.0             2000.0       2395.2502455754466               0.0                      0.02                                   10.0   5579.126613826809             2.3225037300877503e+26                     1.1            300.0           0.5           0.0                -1.2                 0.0                 0.0            1.8  4.6850719282603515e+36    2.1370841539411467e+37    3.1609095066523447e+37            9.809319562165252e+21   4.759811114198934e+37          3.9413986816552526e+36          1.2047617393810639e+37           1.598901607546589e+37  1.4390114467919294e+38         2.2811279725306086e+22           1.2429041491772665e+23   2.3941350679086494e+23    467786151907.0032    67.37122457829686    68.37700880462533    67.4622115087451    3.15716647859499e+38  1.9558205896686172e+37   2.7524459755687854e+35     1.9282961299129294e+37  2.1426379949181427e+38  1.0145284836768471e+38   124724023756.7298      124703541355.57584        20482401.153969474    343062128814.7454       342407989097.36414          654139717.3813083  5.9205020515108874e+54   6.923612712651013e+52    5.851265924384377e+54         7.328421339037133e+18      6.597947229098912e+36   3.283158422301303e+37       1.218794908206074e+34          5.675291730783904e+33       1.608249546303761e+34     7.026151434934434e-07    0.007912676033724345    0.00884988258742078   0.010778309264408086    0.014677139014383778    0.02511238365027109     0.0348958412167215   0.043380285969156156   0.08530485397689433    0.08726298072945776    0.1069276515952661    0.10119925231773941     0.0721560152628121    0.06725581321892739    0.07736518656618459   0.21996770184435271    0.2508797623146936   0.28946575814676045   2.9290734609425457    5.847750045814763 
 61006993   8.823238774940277   0.44116193874701387     8.954960803751725       0.44774804018758624     8.83515483283842        0.441757741641921    0.5587381940600828    0.004072549576811629    0.6244962216342884   0.0045518488805218575    0.6812106296705447    0.004965230748635792     0.207570160836318   0.0015129443085499402    0.16315211927722856   0.0011891886063671267    0.13868746493306272   0.0010108698181486504   11.461956762369734     0.08354429258330343  15.442236785605724     0.11255589031645997    0.43400056777352397    0.003163357807667611    0.18935914410255097   0.0013802072426381026    0.3552095691334813   0.0025890633499424474     0.1522951133101081   0.0011100536993088818    0.22019172063043843   0.0016049407543714336    0.11666844944654442   0.0008503768839717078     0.03262560017204406     0.0002378025622490299      0.07906195829350576        0.0005762694374809285     0.0626604244275359     0.0004567213906228098    0.020375297420784467     0.0001485121471389946    0.10098798521949089      0.000736084593537688      1.743513944462533e-06         3.9195819163898104e-07  187.24884047455058       10.402713359697254          0.03          0.97        20.0           -0.36                 1.0                  1.6               0.1                        0.0        30.0           0.0         40.0          1.0         1.0         7.0                 100.0      0.6848165397312389                          0.44                          0.3                   0.132    1.3757237023259925      0.5484919190164297                              0.0                                 0.0                                217.5                            35.0              2.0                  0.0                 0.0                     300.0               -2.0            100.0               0.02         1.675751921197019         3.978467049370288           0.24134031061376815                1.8156128746602103              10.0                   0.7                  0.8               2.58        5000.0                20.0             5000.0               0.0                50.0             2000.0       2395.2502455754466               0.0                      0.02                                   10.0  10334.774415951877              4.793248955455761e+25                     0.3            300.0           0.5           0.0                -1.2                 0.0                 0.0            1.8   6.109109201491531e+35     2.786655289207353e+36     4.121674469006959e+36           1.2790882469940277e+21   6.206565517108636e+36             5.1393949381237e+35          1.5709515542893068e+36          2.0848910481016767e+36  1.8764019432915083e+37          2.974481523475994e+21            1.620687428192862e+22   3.1218373585152577e+22    60997071735.59922    8.784884720859598    8.916034162444797   8.796748980416934   4.116793739853433e+37  2.5502962908080178e+36   3.5890576053971704e+34      2.514405714754046e+36  2.7938972316013495e+37   1.322896508252084e+37  16263414795.900745      16260743988.978796        2670806.9219508935   44733657026.342445        44648360343.01064          85296683.33179855   7.720050858165762e+53   9.028059073177494e+51   7.6297702674339874e+53         9.555910116270629e+17      8.603406894376245e+35   4.281081194645156e+36      1.5892501337151275e+33          7.400308354829182e+32       2.097080312119577e+33    1.9757837613794225e-06    0.020286727307346503    0.03248377877682496    0.06238804357414249      0.0787182810224422    0.10054899691310974    0.11616129916604982     0.1516330962026589   0.21923456131778735     0.2066678666360451   0.16244290745991843    0.13808459940193113     0.1885360120261293     0.3536654958773869     0.4321139950906324    0.5563093949015713     0.621781576539817    0.6782494506752619   11.412132370131486   15.375110370928617 
 61007097   2.406717130310602    0.1203358565155301    2.4426469822919583       0.12213234911459792    2.409967476515748      0.12049837382578742   0.37945884747550895   0.0008837250408757036   0.40675195082324844    0.000947288188848322   0.47167741444604866   0.0010984936710123356   0.12796558917818762   0.0002980201839528195    0.09498566011546733    0.000221212937652125    0.08459752517743956   0.0001970199190051601     8.05733104138763    0.018764788991667853   9.701920478846118    0.022594887769205294    0.30286741192938044   0.0007053505742924695    0.13595481363015574    0.000316626358910533   0.24367083870748563   0.0005674871552728468    0.10247178098874822  0.00023864743026905455    0.13631828916184038   0.0003174728602669585    0.08163701956898578   0.0001901251715055303    0.026244344560552642     6.112068442685965e-05      0.05717467899113765       0.00013315461179689404    0.04391096253878755    0.00010226462611860993    0.014282143804587854    3.3261810078935354e-05    0.06697553725429453      0.000155979916640484      2.427738748611564e-06          1.296916733762548e-07  220.48377893632008       12.969634055077652          0.03          0.97        20.0           -0.36                 1.0                  1.6               0.1                        0.0        30.0           0.0         40.0          1.0         1.0         7.0                 100.0      0.6848165397312389                          0.44                          0.3                   0.132    1.3757237023259925      0.5484919190164297                              0.0                                 0.0                                217.5                            35.0              2.0                  0.0                 0.0                     300.0               -2.0            100.0               0.02         1.675751921197019         3.978467049370288           0.24134031061376815                1.8156128746602103              10.0                   0.7                  0.8               2.58        5000.0                20.0             5000.0               0.0                50.0             2000.0       2395.2502455754466               0.0                      0.02                                   10.0   11325.73843982654             3.0194756608571792e+25                     0.2            300.0           0.5           0.0                -1.1                 0.0                 0.0            1.8    1.67318187038652e+35     7.632178366986933e+35    1.1288570509582159e+36            3.503206760442862e+20   1.699873509882078e+36          1.4075935053060365e+35          4.3025710839325825e+35           5.710164589238619e+35   5.139148130314755e+36          8.146602712003606e+20           4.4387892456621867e+21    8.550185466136021e+21   16706068136.701996    2.406031610105963   2.4419512279641764  2.4092810304947903  1.1275203016442646e+37    6.98483097478787e+35    9.829822841695567e+33      6.886532746370914e+35    7.65201282454919e+36   3.623190191893457e+36     4454274737.8674       4453543248.942629         731488.9247715563   12251793422.564917       12228432101.061607         23361321.503308743  2.1143915926713452e+53  2.4726329597007537e+51    2.089665263074338e+53          4.76858676397437e+17      4.293268955277657e+35  2.1363435687329062e+36      4.3526878036363915e+32          2.026819519210267e+32      5.7435489254739675e+32    2.4435930263828696e-06    0.014278075732764916    0.02623686922071018    0.04389845510629939    0.057158393571821633    0.06695646019557995     0.0816137663891018     0.1024425933142233    0.1362794607759427    0.12792913994376148   0.09495860475929771    0.08457342873833537    0.13591608877525377    0.24360143242740745    0.30278114432128084   0.37935076385259486    0.4066360931360056    0.4715430636353106    8.055036021688485    9.699157020511823 
 61007100                 nan                   nan                   nan                       nan                  nan                      nan                   nan                     nan                   nan                     nan                   nan                     nan                   nan                     nan                    nan                     nan                    nan                     nan                  nan                     nan                 nan                     nan                    nan                     nan                    nan                     nan                   nan                     nan                    nan                     nan                    nan                     nan                    nan                     nan                     nan                       nan                      nan                          nan                    nan                       nan                     nan                       nan                    nan                       nan                        nan                            nan                 nan                      nan          0.03          0.97        20.0           -0.36                 1.0                  1.6               0.1                        0.0        30.0           0.0         40.0          1.0         1.0         7.0                 100.0      0.6848165397312389                          0.44                          0.3                   0.132    1.3757237023259925      0.5484919190164297                              0.0                                 0.0                                217.5                            35.0              2.0                  0.0                 0.0                     300.0               -2.0            100.0               0.02         1.675751921197019         3.978467049370288           0.24134031061376815                1.8156128746602103              10.0                   0.7                  0.8               2.58        5000.0                20.0             5000.0               0.0                50.0             2000.0       2395.2502455754466               0.0                      0.02                                   10.0   4367.376750929067              3.420364545220432e+26                     1.5            300.0           0.5           0.0                -1.9                 0.0                 0.0            1.8                     nan                       nan                       nan                              nan                     nan                             nan                             nan                             nan                     nan                            nan                              nan                      nan                  nan                  nan                  nan                 nan                     nan                     nan                      nan                        nan                     nan                     nan                 nan                     nan                       nan                  nan                      nan                        nan                     nan                     nan                      nan                           nan                        nan                     nan                         nan                            nan                         nan                       nan                     nan                    nan                    nan                     nan                    nan                    nan                    nan                   nan                    nan                   nan                    nan                    nan                    nan                    nan                   nan                   nan                   nan                  nan                  nan 
 61007776                 nan                   nan                   nan                       nan                  nan                      nan                   nan                     nan                   nan                     nan                   nan                     nan                   nan                     nan                    nan                     nan                    nan                     nan                  nan                     nan                 nan                     nan                    nan                     nan                    nan                     nan                   nan                     nan                    nan                     nan                    nan                     nan                    nan                     nan                     nan                       nan                      nan                          nan                    nan                       nan                     nan                       nan                    nan                       nan                        nan                            nan                 nan                      nan          0.03          0.97        20.0           -0.36                 1.0                  1.6               0.1                        0.0        30.0           0.0         40.0          1.0         1.0         7.0                 100.0      0.6848165397312389                          0.44                          0.3                   0.132    1.3757237023259925      0.5484919190164297                              0.0                                 0.0                                217.5                            35.0              2.0                  0.0                 0.0                     300.0               -2.0            100.0               0.02         1.675751921197019         3.978467049370288           0.24134031061376815                1.8156128746602103              10.0                   0.7                  0.8               2.58        5000.0                20.0             5000.0               0.0                50.0             2000.0       2395.2502455754466               0.0                      0.02                                   10.0  3911.5312747661824              3.996396743134175e+26                     1.7            300.0           0.5           0.0                -1.9                 0.0                 0.0            1.8                     nan                       nan                       nan                              nan                     nan                             nan                             nan                             nan                     nan                            nan                              nan                      nan                  nan                  nan                  nan                 nan                     nan                     nan                      nan                        nan                     nan                     nan                 nan                     nan                       nan                  nan                      nan                        nan                     nan                     nan                      nan                           nan                        nan                     nan                         nan                            nan                         nan                       nan                     nan                    nan                    nan                     nan                    nan                    nan                    nan                   nan                    nan                   nan                    nan                    nan                    nan                    nan                   nan                   nan                   nan                  nan                  nan 
 61007815    4.60282249858343   0.23014112492917152     4.671537982005954        0.2335768991002977    4.609038753270288       0.2304519376635144  0.018447251307818033   3.388084957827836e-05  0.021909332415599888   4.023942556790835e-05  0.026338151305067906   4.837354506894872e-05  0.007435496092611306  1.3656285180376756e-05   0.009007090749486493  1.6542729414214906e-05   0.007925545663761045   1.455632690090109e-05  0.26539712846352953  0.00048743739855536126  0.5128318542447495   0.0009418844370191756  0.0069927610061698295  1.2843142852750468e-05   0.005806972316124807  1.0665282987958018e-05  0.005630149355186329  1.0340523919976245e-05   0.003977383223057919   7.304997392130757e-06   0.007200063684499679  1.3223882007027144e-05   0.002981885824927587   5.476632990366345e-06   0.0007453188963456765    1.3688780509123406e-06    0.0014183679864369471       2.6050229160563444e-06  0.0009460956357359193     1.737631443631358e-06   0.0006746486649051725    1.2390826986864665e-06   0.002317059123810441     4.255589644649739e-06      8.325517439102517e-08          3.129681282866811e-08  127.39404716069458       7.9621279475434115          0.03          0.97        20.0           -0.36                 1.0                  1.6               0.1                        0.0        30.0           0.0         40.0          1.0         1.0         7.0                 100.0      0.6848165397312389                          0.44                          0.3                   0.132    1.3757237023259925      0.5484919190164297                              0.0                                 0.0                                217.5                            35.0              2.0                  0.0                 0.0                     300.0               -2.0            100.0               0.02         1.675751921197019         3.978467049370288           0.24134031061376815                1.8156128746602103              10.0                   0.7                  0.8               2.58        5000.0                20.0             5000.0               0.0                50.0             2000.0       2395.2502455754466               0.0                      0.02                                   10.0    5965.86216437187               2.06196128020909e+26                     1.0            300.0           0.5           0.0                -1.1                 0.0                 0.0            1.8  3.2058505371311266e+35    1.4623409176453357e+36     2.162913098217259e+36            6.712215493975402e+20  3.2569922619658433e+36            2.69697782106927e+35           8.243813816416577e+35          1.0940791637485847e+36   9.846712473737257e+36          1.560905669748707e+21            8.504810588301863e+21    1.638232947315573e+22   32009166760.229782    4.610005562533863    4.678828281834364   4.616231518171597    2.16035185930953e+37  1.3383078390110094e+36   1.8834140743871304e+34     1.3194736982671381e+36  1.4661412401060956e+37   6.942106192034345e+36   8534481106.720972       8533079559.044723        1401547.6762503036    23474685698.97659         23429924931.2352          44760767.74138985   4.051217350033259e+53   4.737615104659008e+51     4.00384119898667e+53         9.136709349541358e+17      8.225990748480773e+35  4.0932777832076803e+36       8.339838471969765e+32          3.883427473922523e+32      1.1004756705567258e+33    1.0998915260179956e-07    0.000675701506831095  0.0007464820246865076  0.0009475720918575292   0.0014205814604422906   0.002320675075515811  0.0029865392906173755   0.003983590240177392   0.00721129994614324      0.007447099764913   0.00902114701797845   0.007937914096687232   0.005816034549899401   0.005638935642922005   0.007003673755795276   0.01847603968405773   0.02194352363976745   0.02637925404696567   0.2658113014077614   0.5136321684011161 
 61008115    80.3374087209996      4.01687043604998     81.53676495923719        4.0768382479618595       80.44590688569          4.0222953442845   0.21107155887634987   0.0007380556520252627   0.23717497758403466   0.0008293316904311577   0.25430632368203965   0.0008892350089158733   0.08467155284494579  0.00029607171366739544    0.10482206551313367   0.0003665321766740379     0.1061879163419557   0.0003713081584756721   2.6831504284202468    0.009382194121613905   5.534227195541876    0.019351577649807956    0.07340869093216149   0.0002566887719912926    0.07456081542720851    0.000260717415167723   0.06770408045652541  0.00023674141372777727     0.0411173206247932    0.000143775272447016    0.08398118700456127   0.0002936577057680105     0.0324643453308877  0.00011351834272848767    0.008715995190396704    3.0477291907745744e-05     0.013100979542661364        4.581030267651088e-05   0.010262160906161574      3.58837822542563e-05    0.007740656953144887    2.7066818689694296e-05    0.02179539726955873     7.621214449056835e-05      5.562152701163527e-07         1.7044491283617138e-07  252.79423831543406       14.870249312672591          0.03          0.97        20.0           -0.36                 1.0                  1.6               0.1                        0.0        30.0           0.0         40.0          1.0         1.0         7.0                 100.0      0.6848165397312389                          0.44                          0.3                   0.132    1.3757237023259925      0.5484919190164297                              0.0                                 0.0                                217.5                            35.0              2.0                  0.0                 0.0                     300.0               -2.0            100.0               0.02         1.675751921197019         3.978467049370288           0.24134031061376815                1.8156128746602103              10.0                   0.7                  0.8               2.58        5000.0                20.0             5000.0               0.0                50.0             2000.0       2395.2502455754466               0.0                      0.02                                   10.0   5230.272519856739             2.5891473433813146e+26                     1.2            300.0           0.5           0.0                -1.2                 0.0                 0.0            1.8   5.572288842624717e+36    2.5417859894369107e+37     3.759494207595967e+37           1.1666920548280706e+22   5.661181465467982e+37           4.687785424519284e+36          1.4329087154200865e+37           1.901687257872015e+37  1.7115185320848126e+38          2.713107534861542e+22           1.4782741927900618e+23    2.847514900715219e+23    556371299079.2086      80.129383023369    81.32563364839179   80.23760024289622   3.755042358445942e+38   2.326196356612372e+37    3.273679515371773e+35     2.2934595614586544e+37  2.5483915670211425e+38     1.2066507914248e+38  148343141072.10526      148318779897.47058         24361174.63468861   408028158797.40717       407250143965.51215          778014831.8950189   7.041673645471843e+54   8.234744409502684e+52    6.959326201376816e+54         8.716212063948536e+18      7.847407316665524e+36  3.9048935267792277e+37      1.4495993599326269e+34          6.750027592816519e+33       1.912805425455297e+34     6.777737018789702e-07    0.007720613294923481   0.008693425991204281   0.010235588065243644    0.013067055864360124   0.021738960264752142   0.032380282150445416    0.04101085142888749   0.08376372610692213    0.08445230431390083   0.10455063924170416    0.10591295333619469    0.07436774764107891    0.06752876750090943    0.07321860645736411   0.21052501015161168   0.23656083666316197    0.2536478228511309   2.6762026783171984    5.519896866850331 
 61008262                 nan                   nan                   nan                       nan                  nan                      nan                   nan                     nan                   nan                     nan                   nan                     nan                   nan                     nan                    nan                     nan                    nan                     nan                  nan                     nan                 nan                     nan                    nan                     nan                    nan                     nan                   nan                     nan                    nan                     nan                    nan                     nan                    nan                     nan                     nan                       nan                      nan                          nan                    nan                       nan                     nan                       nan                    nan                       nan                        nan                            nan                 nan                      nan          0.03          0.97        20.0           -0.36                 1.0                  1.6               0.1                        0.0        30.0           0.0         40.0          1.0         1.0         7.0                 100.0      0.6848165397312389                          0.44                          0.3                   0.132    1.3757237023259925      0.5484919190164297                              0.0                                 0.0                                217.5                            35.0              2.0                  0.0                 0.0                     300.0               -2.0            100.0               0.02         1.675751921197019         3.978467049370288           0.24134031061376815                1.8156128746602103              10.0                   0.7                  0.8               2.58        5000.0                20.0             5000.0               0.0                50.0             2000.0       2395.2502455754466               0.0                      0.02                                   10.0  4628.1340923492035              3.138538717543866e+26                     1.4            300.0           0.5           0.0                -1.9                 0.0                 0.0            1.8                     nan                       nan                       nan                              nan                     nan                             nan                             nan                             nan                     nan                            nan                              nan                      nan                  nan                  nan                  nan                 nan                     nan                     nan                      nan                        nan                     nan                     nan                 nan                     nan                       nan                  nan                      nan                        nan                     nan                     nan                      nan                           nan                        nan                     nan                         nan                            nan                         nan                       nan                     nan                    nan                    nan                     nan                    nan                    nan                    nan                   nan                    nan                   nan                    nan                    nan                    nan                    nan                   nan                   nan                   nan                  nan                  nan 
 61008428  16.964456392297464    0.8482228196148732     17.21771856400967        0.8608859282004835   16.987367417345915       0.8493683708672958  0.055389114700084126  0.00017239327313566623   0.06317294682021594   0.0001966196992844494   0.07288911938118407   0.0002268603485384763  0.021973313391778097   6.838981698399677e-05   0.026924989028669445   8.380142944922783e-05   0.025482545606428673   7.931196352763646e-05   0.7375573074265143    0.002295575927524135  1.4724966225007263    0.004583003606550293    0.01948099269382725   6.063270937991393e-05   0.018169293819875983  5.6550173244911715e-05  0.016935395157542506   5.270978275899881e-05   0.010923402004573556   3.399803437086316e-05    0.02148024597149026   6.685519223109771e-05   0.008786970702983378  2.7348598161151107e-05    0.002228450620736036     6.935837458498201e-06     0.003695786833796273       1.1502779788767308e-05  0.0027140393935729335     8.447185643074812e-06   0.0019924566958774933     6.201329146408581e-06   0.006323440608483554     1.968109853132965e-05     2.8928454795619557e-07          7.142503047041887e-08  384.64204661612894        25.64280310774193          0.03          0.97        20.0           -0.36                 1.0                  1.6               0.1                        0.0        30.0           0.0         40.0          1.0         1.0         7.0                 100.0      0.6848165397312389                          0.44                          0.3                   0.132    1.3757237023259925      0.5484919190164297                              0.0                                 0.0                                217.5                            35.0              2.0                  0.0                 0.0                     300.0               -2.0            100.0               0.02         1.675751921197019         3.978467049370288           0.24134031061376815                1.8156128746602103              10.0                   0.7                  0.8               2.58        5000.0                20.0             5000.0               0.0                50.0             2000.0       2395.2502455754466               0.0                      0.02                                   10.0   5579.126613826809             2.3225037300877503e+26                     1.1            300.0           0.5           0.0                -1.1                 0.0                 0.0            1.8  1.1813651963563416e+36     5.388768582018687e+36     7.970397332571034e+36            2.473470825661886e+21  1.2002110698933636e+37            9.93844128493716e+35          3.0378692378688846e+36           4.031713366362601e+36   3.628542029726339e+37           5.75198254465905e+21             3.13404730328255e+22    6.036935799305261e+22   117954705426.60248    16.98800384955029    17.24161756097731  17.010946676170832   7.960959093108217e+37   4.931703099400621e+36    6.940435344811092e+34       4.86229874595251e+36   5.402772880216852e+37   2.558186212891366e+37   31449809751.46602      31444645007.737083         5164743.728938511    86504895842.68654        86339951118.78438         164944723.90215722  1.4928853122663535e+54  1.7458248703586817e+52   1.4754270635627669e+54        3.3669038246651914e+18      3.031301385778533e+36  1.5083847035575017e+37      3.0732546012065526e+33          1.431054257561117e+33       4.055284678979554e+33     3.221712645565873e-07   0.0019952223187650964  0.0022315438142058623   0.002717806606923292    0.003700916758414658   0.006332217839181419   0.008799167428432494   0.010938564196382715  0.021510061555443986   0.022003813376324066  0.026962362170108466   0.025517916569074612    0.01819451364771154   0.016958902276445118    0.01950803322092064   0.05546599737645826    0.0632606338188668   0.07299029288083148   0.7385810713931581   1.4745405165384398 
 61008665  16.972960650725827    0.8486480325362914     17.22634978241297        0.8613174891206485   16.995883161039316       0.8497941580519659   0.04459328873473118   6.299996502448628e-05   0.05010818280000545   7.079123010235136e-05  0.053727538562713784   7.590453959199767e-05  0.017888639396673282  2.5272494770011123e-05   0.022145857348485384   3.128695545850625e-05   0.022434421950473817   3.169463025326568e-05   0.5668717396613132   0.0008008581736251026  1.1692214364085634   0.0016518384647025914   0.015509123862084254   2.191079170419564e-05   0.015752534298523427   2.225467414519424e-05  0.014303905388247917  2.0208097782017547e-05   0.008686895384584035  1.2272566588566578e-05    0.01774278514981619  2.5066436578041246e-05   0.006858773075023269   9.689854148407258e-06   0.0018414365829532834     2.601522417666225e-06     0.002767856392229284        3.910338547590401e-06  0.0021680964823821624     3.063017024205443e-06   0.0016353759471227905    2.3104065744848064e-06   0.004604734283973239     6.505420592839825e-06     2.4737073063187766e-07          4.201206959964909e-08  324.56051311625436       18.031139617569686          0.03          0.97        20.0           -0.36                 1.0                  1.6               0.1                        0.0        30.0           0.0         40.0          1.0         1.0         7.0                 100.0      0.6848165397312389                          0.44                          0.3                   0.132    1.3757237023259925      0.5484919190164297                              0.0                                 0.0                                217.5                            35.0              2.0                  0.0                 0.0                     300.0               -2.0            100.0               0.02         1.675751921197019         3.978467049370288           0.24134031061376815                1.8156128746602103              10.0                   0.7                  0.8               2.58        5000.0                20.0             5000.0               0.0                50.0             2000.0       2395.2502455754466               0.0                      0.02                                   10.0   5230.272519856739             2.5891473433813146e+26                     1.2            300.0           0.5           0.0                -1.1                 0.0                 0.0            1.8  1.1808376009484223e+36     5.386361968410141e+36     7.966837768564133e+36           2.4723661783832404e+21  1.1996750579548345e+37           9.934002796314014e+35           3.036512531352811e+36           4.029912810984213e+36  3.6269215298857897e+37          5.749413720398479e+21            3.132647643828798e+22    6.034239715473233e+22   117902027083.68405    16.98041703994359   17.233917487978438   17.00334962034221   7.957403744200773e+37   4.929500610351095e+36    6.937335759832478e+34     4.8601272527527704e+36   5.400360012315863e+37   2.557043731884911e+37  31435764327.361782      31430601890.197388         5162437.164395326    86466262923.79752         86301391863.8895         164871059.90802595   1.492218592578207e+54  1.7450451883539353e+52   1.4747681406946677e+54         3.365400171940125e+18      3.029947612452478e+36   1.507711061871233e+37       3.071882091655768e+33         1.4304151515022104e+33       4.053473596698618e+33     2.611819068426627e-07   0.0016360943839253048  0.0018422455442279175  0.0021690489485763033   0.0027690723388743054    0.00460675718921483   0.006861786201763858    0.00869071162350748  0.017750579730538233   0.017896498052606246  0.022155586242303578   0.022444277613571168   0.015759454542393248   0.014310189235132593   0.015515937173345729   0.04461287900682032   0.05013019581951573  0.053751141600950875   0.5671207720142682   1.1697350869313576 
